student_id,age,gender,education_level,stream,board,aptitude_logical,aptitude_verbal,aptitude_numerical,aptitude_spatial,personality_openness,personality_conscientiousness,personality_extraversion,personality_agreeableness,personality_neuroticism,interest_realistic,interest_investigative,interest_artistic,interest_social,interest_enterprising,interest_conventional,career_outcome
STU200121,19,F,undergraduate,undecided,cbse,69.17,81.19,69.24,57.3,3.29,3.3,2.51,4.19,1.94,2.78,2.96,2.14,3.06,4.32,3.33,Corporate Lawyer
STU120124,18,M,class_12,arts,state,89.45,74.75,78.5,82.76,3.75,4.3,4.36,4.53,3.47,2.42,2.81,3.16,4.45,2.98,1.6,Clinical Psychologist
STU050084,18,M,class_12,science_pcm,icse,76.87,81.68,72.56,52.0,3.77,4.53,3.0,4.22,3.45,4.65,4.74,2.43,3.01,3.68,3.8,Cloud Architect
STU260030,17,F,class_12,arts,cbse,45.78,42.93,43.73,61.02,4.93,3.33,4.34,5.0,3.14,2.08,3.8,4.73,3.81,2.76,1.65,Journalist
STU020105,17,F,class_12,science_pcb,cbse,80.15,71.5,81.17,82.87,3.37,3.88,2.9,3.05,1.78,3.85,3.68,1.89,1.44,2.97,3.37,Data Scientist
STU190023,16,M,class_11,science_pcm,state,77.6,89.49,84.02,76.84,4.1,4.18,2.75,3.79,3.9,3.38,3.64,2.22,4.9,4.01,2.45,Entrepreneur
STU260006,16,F,class_11,arts,icse,43.46,97.62,55.47,81.95,3.96,4.48,3.98,1.44,2.71,1.19,1.48,4.47,3.62,2.1,3.31,Journalist
STU310036,21,M,undergraduate,undecided,cbse,73.54,71.55,80.88,92.57,4.36,4.33,4.47,4.36,1.89,3.04,4.44,1.4,4.13,3.62,2.66,Environmental Scientist
STU250134,18,M,class_12,arts,state,77.57,72.95,40.49,71.52,4.02,2.75,1.0,3.92,3.62,1.2,3.09,4.82,3.43,4.1,2.01,Fashion Designer
STU120128,15,F,class_10,vocational,state,60.11,78.68,93.6,72.28,4.34,3.69,4.0,4.3,3.9,2.27,4.14,1.29,4.78,2.3,3.32,Clinical Psychologist
STU340134,18,M,undergraduate,science_pcm,cbse,59.27,55.65,71.65,73.97,2.93,3.04,2.95,2.61,3.37,3.86,2.77,1.58,1.68,4.47,4.38,Airline Pilot
STU250054,20,M,undergraduate,arts,cbse,68.01,54.88,61.35,88.68,4.07,4.7,3.9,4.53,3.05,4.83,1.4,3.8,2.3,1.0,2.7,Fashion Designer
STU310059,18,F,undergraduate,science_pcb,state,88.84,80.27,72.78,73.61,3.41,4.63,3.87,4.01,1.4,2.27,3.96,1.3,4.1,3.87,2.1,Environmental Scientist
STU040048,17,O,class_11,science_pcm,state,70.63,60.85,72.84,60.34,3.28,4.68,2.91,4.18,1.4,4.25,4.23,2.0,1.33,3.25,2.13,Cybersecurity Analyst
STU340045,18,M,undergraduate,science_pcm,cbse,85.22,40.64,47.83,78.11,3.81,3.36,2.81,3.06,3.6,3.71,2.41,2.8,3.05,4.25,2.68,Airline Pilot
STU070097,16,F,class_11,science_pcm,cbse,66.64,64.49,58.87,90.68,2.81,4.2,3.42,4.22,3.61,4.37,3.42,3.6,3.28,2.17,2.39,Civil Engineer
STU250143,18,F,class_12,arts,state,49.52,74.56,46.69,80.45,4.13,2.63,3.44,2.88,1.4,2.76,2.35,4.31,4.01,4.31,1.74,Fashion Designer
STU020091,20,M,undergraduate,science_pcb,state,88.47,76.87,72.15,52.0,4.47,4.44,1.8,3.46,3.14,2.7,3.67,3.02,1.3,3.75,1.99,Data Scientist
STU310048,15,F,class_9,science_pcm,ib,75.39,81.89,92.42,85.93,4.03,4.4,3.87,4.54,1.7,4.5,3.99,2.24,4.26,4.85,3.56,Environmental Scientist
STU150082,17,F,class_12,vocational,icse,87.77,71.18,86.45,32.17,4.16,2.27,3.8,3.76,2.23,2.17,2.6,2.12,2.07,2.42,3.41,Investment Banker
STU030034,17,F,class_11,vocational,state,66.52,76.55,86.71,61.76,4.58,3.25,3.61,2.65,2.02,4.03,3.74,2.29,2.81,2.53,3.31,AI/ML Engineer
STU200046,17,F,class_11,arts,cbse,80.04,79.6,77.98,76.77,3.26,4.1,4.09,2.26,2.77,3.49,4.23,2.15,3.18,3.39,2.78,Corporate Lawyer
STU200093,17,F,class_11,arts,cbse,78.39,61.39,64.35,79.04,3.33,4.99,4.17,3.58,1.89,2.22,2.6,2.04,4.79,3.81,3.3,Corporate Lawyer
STU090073,18,M,class_12,science_pcb,cbse,60.92,83.57,80.83,72.58,3.16,3.4,4.19,4.55,2.97,4.03,3.68,1.2,3.61,2.56,3.88,Dentist
STU260113,18,M,class_12,arts,cbse,79.64,69.49,61.17,64.72,3.91,1.53,3.72,3.0,3.93,1.74,1.89,1.79,3.74,4.15,2.02,Journalist
STU130120,15,M,class_10,science_pcb,state,53.18,62.92,55.26,66.54,3.12,4.14,4.0,4.74,2.3,3.08,4.19,3.43,4.73,1.75,3.72,Physiotherapist
STU040106,17,M,class_12,science_pcm,cbse,87.38,64.34,86.64,64.95,4.58,2.3,2.92,5.0,3.34,3.2,4.57,1.73,1.65,2.82,2.36,Cybersecurity Analyst
STU140016,17,M,class_11,commerce,state,87.25,69.07,96.74,54.02,3.01,4.62,3.43,2.22,2.78,1.58,4.29,2.68,2.87,3.09,4.05,Chartered Accountant
STU050025,17,F,class_12,undecided,state,84.18,69.66,92.08,78.49,4.51,4.22,2.7,3.78,3.67,4.26,3.81,3.22,2.82,2.29,3.94,Cloud Architect
STU210128,15,M,class_10,commerce,cbse,82.38,74.9,28.46,63.51,1.21,3.7,2.61,2.2,1.92,3.15,1.6,3.06,3.96,4.32,4.9,Civil Lawyer
STU040042,17,M,class_12,vocational,cbse,79.62,51.78,67.89,74.3,4.32,3.32,3.36,3.05,1.35,3.51,4.06,2.97,3.09,3.52,1.94,Cybersecurity Analyst
STU010024,17,F,class_12,undecided,cbse,94.59,73.91,68.41,90.0,3.42,3.4,2.24,4.3,2.8,1.59,4.46,1.87,3.83,3.54,3.14,Software Engineer
STU320143,16,O,class_11,commerce,cbse,66.42,55.97,76.7,64.93,2.94,4.24,4.56,2.44,2.62,1.6,4.7,3.01,2.42,4.8,3.12,Sports Manager
STU040052,18,M,class_12,arts,cbse,38.7,64.74,81.04,67.22,4.9,3.81,3.11,3.86,2.4,4.74,4.09,3.33,4.81,1.67,2.11,Cybersecurity Analyst
STU100056,19,F,undergraduate,science_pcm,cbse,66.56,71.64,81.9,61.12,3.15,4.17,3.71,3.88,2.95,4.02,4.57,1.79,3.73,3.8,1.88,Pharmacist
STU130122,18,O,undergraduate,science_pcb,state,68.76,76.46,66.75,78.91,2.5,4.25,2.7,4.4,2.86,3.23,4.94,3.55,4.12,2.38,3.21,Physiotherapist
STU020090,17,O,class_11,science_pcm,cbse,74.36,58.56,70.08,77.9,3.49,3.12,2.29,4.07,2.95,4.21,3.13,3.42,3.15,2.35,2.36,Data Scientist
STU310142,16,F,class_11,science_pcm,state,71.94,81.26,71.41,78.25,4.47,4.37,4.71,3.89,2.49,3.89,1.46,2.65,4.49,3.52,1.0,Environmental Scientist
STU270112,22,F,undergraduate,arts,state,42.0,96.87,43.57,99.0,4.24,4.67,2.86,4.8,4.5,3.5,2.9,1.89,4.4,4.3,2.51,Film Director
STU140149,16,F,class_11,arts,cbse,85.51,76.09,95.36,41.46,3.8,4.76,3.07,3.74,3.93,2.3,2.68,4.39,2.61,1.82,4.57,Chartered Accountant
STU150127,18,M,class_12,undecided,cbse,68.44,62.55,81.54,51.79,2.57,4.38,3.73,2.88,2.11,2.26,2.71,1.53,3.07,4.05,3.4,Investment Banker
STU130071,15,F,class_9,science_pcb,cbse,89.14,66.3,90.17,71.88,2.86,3.4,2.2,3.57,1.41,1.11,4.3,1.67,2.93,2.97,2.26,Physiotherapist
STU090139,18,F,undergraduate,science_pcb,cbse,92.0,80.02,52.05,59.81,3.48,4.38,4.26,3.7,1.47,3.09,4.22,2.74,4.45,1.96,3.52,Dentist
STU230024,18,M,class_12,arts,cbse,42.51,85.53,35.75,62.68,4.0,4.21,4.09,4.09,1.95,1.76,2.95,3.8,3.99,3.65,3.36,Graphic Designer
STU160145,18,F,class_12,commerce,cbse,84.32,55.0,62.4,71.95,2.92,4.46,4.69,3.13,4.08,2.33,2.97,2.63,4.45,5.0,3.02,Management Consultant
STU170015,18,F,class_12,commerce,ib,74.54,65.83,71.43,81.01,2.8,1.66,4.96,3.16,1.65,1.2,3.21,2.4,2.66,4.33,1.0,Digital Marketing Manager
STU310039,17,F,class_11,science_pcm,state,70.79,84.38,99.0,72.36,3.33,4.22,4.07,4.24,2.63,2.0,5.0,2.86,4.11,4.56,2.23,Environmental Scientist
STU030130,22,F,undergraduate,science_pcm,cbse,73.18,41.77,76.71,63.02,3.38,3.48,3.59,3.37,3.62,4.41,4.6,1.69,1.92,3.56,4.2,AI/ML Engineer
STU290055,16,M,class_11,commerce,icse,96.89,90.97,76.63,100.0,3.16,4.67,3.84,3.66,2.57,2.51,3.42,2.77,4.05,1.8,4.21,IAS Officer
STU250105,22,M,undergraduate,arts,cbse,53.1,12.08,50.77,65.41,3.72,2.61,2.59,2.88,2.12,2.59,2.69,3.98,4.17,3.34,2.0,Fashion Designer
STU280047,16,F,class_10,commerce,icse,54.21,92.18,42.49,80.88,4.71,3.52,3.65,3.66,1.95,3.01,4.3,4.24,3.84,3.68,2.96,Content Writer
STU030123,18,M,undergraduate,undecided,state,89.7,68.8,85.38,91.36,4.5,4.71,3.5,3.18,3.35,3.3,4.39,2.18,2.11,3.87,3.79,AI/ML Engineer
STU250128,16,M,class_11,arts,cbse,82.97,80.17,25.34,89.77,4.78,3.29,3.88,3.88,2.5,2.57,1.71,4.14,4.72,2.74,3.2,Fashion Designer
STU060054,21,F,undergraduate,science_pcm,cbse,51.68,62.2,75.23,92.18,2.68,4.9,4.41,3.29,1.78,3.24,2.88,1.94,2.52,2.39,2.31,Mechanical Engineer
STU280119,17,M,class_12,arts,cbse,67.21,90.91,38.64,45.68,4.54,3.16,4.13,4.83,2.98,2.88,2.29,4.88,1.73,4.39,2.71,Content Writer
STU120102,16,F,class_10,undecided,icse,61.51,90.65,74.85,69.35,3.93,4.47,2.76,3.7,1.57,2.31,4.96,3.07,3.53,1.73,2.65,Clinical Psychologist
STU130014,20,O,undergraduate,science_pcb,state,66.05,93.44,77.44,58.61,3.14,4.46,3.21,4.39,3.61,3.65,4.82,1.94,4.25,3.49,3.45,Physiotherapist
STU140128,15,F,class_10,science_pcm,cbse,81.44,54.18,100.0,56.75,3.84,3.5,2.66,3.55,2.49,3.8,3.63,1.0,1.36,3.65,4.06,Chartered Accountant
STU110055,16,F,class_11,science_pcm,state,71.75,78.23,75.53,64.15,4.6,3.4,3.48,3.52,2.44,2.66,4.7,1.77,3.8,2.47,4.74,Biomedical Engineer
STU290038,17,M,class_11,science_pcb,state,88.07,96.09,74.95,70.0,3.35,1.34,4.42,3.76,3.56,2.44,3.99,3.58,4.7,3.91,3.58,IAS Officer
STU100068,18,M,class_12,science_pcb,cbse,58.3,38.34,86.26,47.03,3.55,3.89,4.38,4.35,1.48,2.36,2.31,3.48,4.16,1.67,3.37,Pharmacist
STU200067,17,M,class_11,undecided,cbse,39.78,100.0,54.33,78.69,2.7,3.89,4.35,2.67,3.79,2.91,4.9,1.6,4.16,1.0,4.7,Corporate Lawyer
STU250031,15,F,class_10,arts,cbse,77.46,88.26,64.93,66.25,3.7,2.3,2.4,3.92,4.5,3.89,2.72,4.38,4.06,2.29,2.38,Fashion Designer
STU270102,14,F,class_9,arts,icse,80.12,73.61,57.18,84.61,4.82,4.34,3.95,3.33,2.42,3.93,1.85,4.75,3.82,4.78,2.22,Film Director
STU200102,21,F,undergraduate,undecided,cbse,65.32,85.27,46.7,42.18,5.0,3.69,3.26,4.56,2.78,3.5,3.49,2.56,3.4,4.41,4.25,Corporate Lawyer
STU140104,14,F,class_9,science_pcm,icse,92.18,51.35,95.55,42.33,3.1,4.75,3.48,2.38,2.15,3.3,4.56,3.0,2.25,3.41,3.54,Chartered Accountant
STU130080,22,M,undergraduate,commerce,state,74.82,58.81,77.92,45.98,2.6,2.09,4.5,4.89,3.23,3.05,4.8,2.3,4.31,2.77,4.3,Physiotherapist
STU260053,19,M,undergraduate,arts,state,71.69,80.2,59.97,75.39,4.58,4.8,3.89,1.99,2.84,3.32,3.77,4.78,4.58,4.43,1.0,Journalist
STU050134,17,M,class_11,science_pcm,cbse,75.29,77.31,73.5,79.75,4.34,3.33,2.41,2.53,2.79,4.17,4.35,2.44,2.5,2.9,3.62,Cloud Architect
STU070028,16,M,class_10,science_pcm,cbse,70.37,43.26,72.01,91.85,2.58,4.69,3.3,2.59,3.25,4.62,4.18,1.53,2.79,4.23,4.3,Civil Engineer
STU210133,17,F,class_11,commerce,icse,69.79,91.99,74.45,44.66,4.01,4.0,3.98,3.14,3.18,3.33,3.02,3.45,4.09,2.49,3.84,Civil Lawyer
STU010066,16,M,class_11,science_pcm,state,72.99,58.85,73.39,77.69,3.25,3.6,2.12,3.19,3.64,3.8,4.61,1.4,2.87,2.79,4.07,Software Engineer
STU210098,16,M,class_11,commerce,cbse,76.77,68.05,68.42,45.88,3.05,3.89,4.18,2.0,2.37,2.51,4.19,3.79,2.84,4.69,3.3,Civil Lawyer
STU190148,22,F,undergraduate,science_pcm,cbse,23.48,66.61,84.42,73.27,3.11,5.0,3.9,4.26,3.16,2.59,2.55,3.44,2.78,3.66,3.02,Entrepreneur
STU160068,21,F,undergraduate,arts,ib,74.91,55.64,79.44,79.07,3.95,4.2,4.18,4.5,3.97,3.54,4.16,1.85,2.36,4.83,4.08,Management Consultant
STU090123,18,F,class_12,science_pcb,state,58.58,74.32,70.77,48.3,3.59,4.33,4.37,4.17,3.74,3.28,4.83,2.54,3.79,2.85,3.86,Dentist
STU110033,22,F,undergraduate,science_pcm,cbse,69.47,82.66,68.83,50.62,4.04,3.85,3.46,2.82,1.25,3.94,4.2,2.6,3.53,2.17,2.06,Biomedical Engineer
STU070053,21,M,undergraduate,vocational,cbse,81.1,88.85,74.07,60.0,4.23,3.69,5.0,4.28,3.95,3.73,4.5,3.98,2.72,4.6,2.5,Civil Engineer
STU300004,17,M,class_12,arts,icse,81.42,68.65,73.8,78.56,2.65,4.21,2.55,3.79,3.17,4.43,3.85,2.69,1.79,4.6,3.4,Defence Officer (Indian Armed Forces)
STU270144,21,M,undergraduate,undecided,state,54.05,48.0,47.5,84.5,4.73,3.62,2.4,4.03,3.27,1.63,3.6,3.8,2.86,4.8,2.01,Film Director
STU250067,18,F,undergraduate,undecided,state,57.31,96.0,69.11,71.04,4.52,4.43,4.26,4.08,3.2,3.26,3.53,4.16,2.53,4.56,1.87,Fashion Designer
STU080119,21,F,undergraduate,science_pcb,icse,92.0,76.18,74.77,76.86,3.16,3.75,2.58,3.65,3.9,2.34,4.53,1.13,2.57,1.49,3.74,Doctor (MBBS)
STU030117,20,F,undergraduate,science_pcm,icse,80.21,74.5,81.92,84.88,3.58,3.68,2.18,3.94,1.65,3.68,1.22,2.31,1.78,3.52,2.17,AI/ML Engineer
STU120083,18,O,class_12,science_pcb,cbse,58.45,67.33,80.64,51.38,4.46,3.65,3.9,3.6,2.79,3.9,4.77,2.44,4.18,1.73,2.83,Clinical Psychologist
STU220032,17,F,class_12,undecided,cbse,84.02,61.73,69.53,37.01,5.0,2.3,4.6,3.39,4.21,2.09,4.1,4.89,1.0,4.66,2.9,UX/UI Designer
STU150083,17,F,class_11,science_pcm,cbse,87.29,80.63,91.22,54.6,3.11,4.12,3.68,4.01,3.24,2.5,3.09,1.63,3.71,4.69,4.07,Investment Banker
STU110133,17,F,class_11,undecided,cbse,67.02,58.0,67.18,66.7,2.6,2.03,2.43,3.95,3.59,1.96,1.53,2.16,3.84,1.2,1.6,Biomedical Engineer
STU230128,17,F,class_11,commerce,cbse,42.0,63.74,64.76,83.82,3.97,3.23,3.13,4.52,1.84,2.67,1.4,4.36,3.8,4.48,3.24,Graphic Designer
STU010085,17,F,class_11,undecided,icse,24.5,82.0,79.29,86.59,5.0,3.56,2.13,3.5,3.7,4.76,3.75,1.91,2.34,1.88,2.8,Software Engineer
STU140110,17,F,class_11,commerce,state,87.52,65.61,89.14,39.9,2.22,3.94,3.36,4.4,3.36,1.4,2.67,3.11,2.05,4.22,3.78,Chartered Accountant
STU310034,18,M,class_12,science_pcm,icse,81.09,76.35,83.89,93.85,4.63,4.39,4.45,4.11,3.8,4.18,3.28,2.38,4.75,4.23,2.71,Environmental Scientist
STU100083,17,M,class_11,science_pcb,icse,63.81,74.49,62.0,68.3,3.38,4.19,2.81,3.71,3.12,3.44,4.72,2.4,4.31,1.45,2.03,Pharmacist
STU330071,19,M,undergraduate,vocational,state,67.72,54.81,45.0,88.89,2.28,3.05,4.35,3.97,2.6,3.56,2.96,4.32,1.92,2.92,3.9,Chef / Culinary Arts
STU320005,15,M,class_9,commerce,icse,75.64,63.72,77.31,45.61,3.68,4.58,3.92,3.07,2.24,2.76,2.0,3.66,2.69,4.18,2.69,Sports Manager
STU080134,17,M,class_12,vocational,state,58.42,89.47,95.65,47.81,4.4,4.12,2.62,2.36,3.82,1.8,4.42,1.29,4.43,1.99,2.25,Doctor (MBBS)
STU180026,15,F,class_9,science_pcm,icse,70.01,59.15,71.93,65.87,4.23,4.66,4.51,1.83,4.2,3.25,4.53,3.21,3.06,3.85,4.0,Product Manager
STU230101,18,M,undergraduate,undecided,cbse,68.41,55.29,62.7,76.54,4.55,4.7,4.61,2.46,4.09,1.27,3.44,3.93,5.0,1.7,2.59,Graphic Designer
STU300012,17,F,class_12,science_pcm,cbse,66.45,61.49,61.04,76.26,2.71,3.82,4.7,4.51,1.1,3.79,3.13,1.94,2.24,1.5,4.05,Defence Officer (Indian Armed Forces)
STU190123,16,M,class_10,commerce,cbse,27.23,91.3,82.78,62.95,3.43,2.08,3.2,2.2,1.34,3.54,4.3,1.7,2.22,4.05,3.88,Entrepreneur
STU030094,17,M,class_11,science_pcm,state,76.71,59.14,84.63,60.44,4.22,3.87,2.86,1.35,3.44,3.84,4.03,3.1,2.99,1.83,2.75,AI/ML Engineer
STU010107,17,F,class_12,science_pcm,state,37.66,77.04,76.81,57.43,4.27,3.99,2.23,3.44,1.88,3.59,5.0,3.41,1.32,2.7,2.03,Software Engineer
STU190006,16,M,class_11,commerce,cbse,18.42,95.0,58.75,76.44,4.64,4.79,3.96,3.02,2.05,2.52,2.0,3.13,2.94,4.43,1.3,Entrepreneur
STU220012,20,O,undergraduate,commerce,state,65.77,64.49,74.65,81.21,4.73,4.56,4.64,2.28,1.51,2.93,1.71,4.27,1.0,1.1,1.87,UX/UI Designer
STU140118,20,M,undergraduate,commerce,cbse,66.13,50.0,93.86,57.75,2.54,3.67,4.46,4.4,3.17,2.72,4.14,2.59,3.3,3.0,4.15,Chartered Accountant
STU220137,21,F,undergraduate,undecided,state,43.88,70.55,78.0,90.29,4.0,1.2,4.81,3.7,3.58,2.49,2.28,4.7,4.18,4.4,2.67,UX/UI Designer
STU150004,21,F,undergraduate,arts,cbse,72.97,68.08,80.95,61.11,3.41,4.49,3.8,3.16,2.08,2.89,2.81,1.47,3.85,4.15,4.01,Investment Banker
STU130041,18,M,class_12,science_pcm,state,80.7,55.8,75.73,79.46,4.32,4.85,4.11,5.0,2.09,3.07,4.81,2.81,3.76,3.72,2.47,Physiotherapist
STU340144,18,M,undergraduate,undecided,state,78.51,38.57,80.41,94.07,2.56,4.42,4.32,2.5,2.57,4.66,4.32,3.31,3.91,4.43,4.72,Airline Pilot
STU170128,15,M,class_10,arts,cbse,83.98,73.86,62.48,64.36,3.06,4.63,3.84,4.8,2.57,3.59,3.74,2.11,2.38,1.54,2.66,Digital Marketing Manager
STU230144,18,M,undergraduate,undecided,icse,65.36,59.97,68.15,96.13,4.14,4.61,2.7,4.38,2.43,3.27,3.69,3.86,5.0,2.18,2.12,Graphic Designer
STU090145,21,M,undergraduate,science_pcb,icse,63.74,45.56,67.14,25.31,3.22,4.22,2.2,4.99,1.24,1.43,3.88,1.91,4.42,3.71,4.3,Dentist
STU270068,15,M,class_10,undecided,cbse,42.84,73.43,64.81,70.09,5.0,3.42,3.49,2.26,4.45,2.52,3.37,4.65,4.45,4.55,4.38,Film Director
STU100070,16,F,class_10,science_pcm,state,92.0,75.0,86.32,80.87,3.76,4.82,2.2,2.64,2.25,2.39,4.91,3.05,3.4,1.49,3.69,Pharmacist
STU100134,22,F,undergraduate,science_pcb,ib,92.0,87.94,73.23,45.0,3.94,4.6,3.91,4.5,1.22,2.9,1.0,2.53,5.0,2.49,2.13,Pharmacist
STU040019,16,M,class_10,science_pcm,state,84.49,46.62,83.61,72.12,3.81,4.2,2.28,2.48,3.01,4.44,4.44,3.61,3.33,2.01,3.05,Cybersecurity Analyst
STU010009,15,M,class_9,vocational,cbse,74.04,66.63,87.26,74.75,3.53,4.69,2.71,4.32,3.7,5.0,3.51,1.48,3.63,3.12,3.77,Software Engineer
STU120017,18,M,class_12,arts,icse,74.86,85.87,79.22,68.06,4.54,4.08,2.69,4.18,1.59,3.01,4.05,3.05,3.4,1.81,3.31,Clinical Psychologist
STU060140,15,M,class_10,science_pcm,icse,72.36,27.46,61.29,60.0,3.71,3.36,3.06,3.44,1.52,5.0,2.12,2.22,3.52,1.9,2.49,Mechanical Engineer
STU290040,16,F,class_11,commerce,state,70.0,88.49,72.05,96.48,4.03,4.72,3.76,4.12,2.47,3.29,3.27,1.95,4.88,3.5,3.46,IAS Officer
STU160131,17,M,class_12,science_pcm,cbse,63.73,79.3,91.56,51.73,3.06,4.56,4.65,3.83,4.2,2.42,2.92,2.31,4.76,4.01,4.51,Management Consultant
STU020008,15,M,class_10,science_pcm,cbse,74.65,82.0,83.67,86.0,4.67,4.63,3.65,2.2,1.32,4.75,3.97,3.45,2.57,3.5,2.73,Data Scientist
STU220136,16,F,class_11,undecided,ib,78.89,48.49,59.64,70.65,4.28,4.03,4.65,2.62,3.39,3.95,2.88,4.43,4.19,3.31,2.07,UX/UI Designer
STU160070,18,M,class_12,arts,cbse,60.0,72.79,55.58,61.25,1.48,3.51,4.15,3.32,2.94,2.57,3.85,2.51,3.93,4.18,2.64,Management Consultant
STU100142,19,M,undergraduate,science_pcb,cbse,67.35,71.97,72.25,45.0,1.35,4.87,2.32,4.23,3.03,2.73,4.5,3.29,3.9,3.39,3.35,Pharmacist
STU240039,18,M,undergraduate,vocational,cbse,44.37,96.0,69.89,89.93,4.54,4.02,3.62,2.36,2.84,2.45,3.76,4.32,3.28,3.23,3.01,Architect
STU150065,16,F,class_11,undecided,state,78.38,77.77,79.5,64.9,3.92,3.64,3.77,2.57,1.43,2.09,2.6,1.69,2.19,3.28,4.74,Investment Banker
STU050082,18,F,class_12,science_pcm,cbse,75.59,67.11,72.93,52.0,4.42,3.1,2.03,3.46,2.04,2.87,3.75,3.64,1.74,3.36,3.17,Cloud Architect
STU320144,22,M,undergraduate,commerce,cbse,58.06,89.28,69.75,57.12,3.88,4.37,4.82,2.39,2.55,3.32,3.24,3.34,4.21,4.15,4.16,Sports Manager
STU150016,17,M,class_11,commerce,icse,72.74,63.71,87.29,48.83,3.73,4.23,3.86,3.47,3.03,2.68,4.01,2.83,1.4,4.33,4.95,Investment Banker
STU280090,17,F,class_11,commerce,state,42.0,81.41,44.03,64.55,4.39,2.6,3.53,3.35,1.4,1.09,3.66,3.21,3.91,1.81,2.34,Content Writer
STU310128,18,M,class_12,science_pcb,state,85.4,83.59,90.43,85.17,4.55,4.73,5.0,3.93,2.75,2.31,4.25,3.7,4.8,3.66,3.39,Environmental Scientist
STU190016,22,F,undergraduate,commerce,state,76.61,95.0,61.55,48.97,3.0,3.47,4.63,3.67,1.53,2.06,4.28,1.73,3.92,3.17,2.8,Entrepreneur
STU180049,16,F,class_10,commerce,icse,72.13,64.66,59.05,50.51,3.67,3.16,3.55,2.95,1.47,1.97,3.5,2.95,3.37,4.89,2.2,Product Manager
STU290060,14,M,class_9,commerce,icse,82.48,91.21,94.32,93.48,3.0,4.02,4.71,3.29,3.5,4.18,2.99,4.1,4.5,4.2,4.36,IAS Officer
STU110002,21,M,undergraduate,science_pcm,cbse,69.08,79.96,90.52,60.24,2.96,5.0,3.41,4.94,2.43,1.81,5.0,2.93,3.78,2.75,3.96,Biomedical Engineer
STU180093,15,O,class_9,commerce,cbse,68.7,72.02,78.83,74.99,4.52,4.59,3.47,4.02,2.55,1.26,3.63,2.64,1.99,4.85,3.29,Product Manager
STU190090,16,F,class_10,arts,icse,100.0,62.08,86.38,40.0,2.29,4.93,4.08,2.79,1.2,2.12,2.82,3.63,2.85,2.6,2.22,Entrepreneur
STU010030,14,M,class_9,commerce,cbse,75.47,61.35,77.08,82.18,4.09,3.24,3.99,3.74,2.18,4.91,3.95,2.99,3.13,1.0,3.09,Software Engineer
STU150039,16,F,class_10,commerce,cbse,80.38,77.52,91.35,53.22,4.43,3.92,4.68,2.29,3.51,2.01,3.41,3.5,2.49,3.02,3.98,Investment Banker
STU260128,15,M,class_9,commerce,icse,65.04,76.92,69.38,69.64,5.0,3.57,4.78,4.79,2.51,2.13,2.02,3.98,3.53,2.13,2.77,Journalist
